,Occupations,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,Gender
4,Management occupations,52075,63901,100440,58163,85946,2010,Male
5,Business and financial operations occupations,49502,65022,89923,60423,80744,2010,Male
7,Computer and mathematical occupations,49466,70859,87516,64772,82728,2010,Male
8,Architecture and engineering occupations,57070,56783,79611,71412,54395,2010,Male
9,"Life, physical, and social science occupations",71368,68804,55215,41411,79576,2010,Male
11,Community and social service occupations,42250,41704,45277,35700,40492,2010,Male
12,Legal occupations,62235,101667,181871,71681,92443,2010,Male
13,"Education, training, and library occupations",46088,45696,54339,56816,59548,2010,Male
14,"Arts, design, entertainment, sports, and media occupations",35569,41647,51856,41470,60117,2010,Male
16,Health diagnosing and treating practitioners and other technical occupations,81106,66068,127862,65926,77428,2010,Male
17,Health technologists and technicians,44469,50671,40143,36777,46270,2010,Male
19,Healthcare support occupations,35139,22232,38415,33157,37374,2010,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",24917,30586,29004,41570,54781,2010,Male
22,Law enforcement workers including supervisors,85363,67034,82054,72227,75707,2010,Male
23,Food preparation and serving related occupations,19478,21457,21144,20747,17364,2010,Male
24,Building and grounds cleaning and maintenance occupations,25166,28636,27796,31731,37946,2010,Male
25,Personal care and service occupations,24566,21830,28697,27053,30305,2010,Male
27,Sales and related occupations,24829,31312,71113,31098,40071,2010,Male
28,Office and administrative support occupations,27301,31633,32461,32054,47212,2010,Male
30,"Farming, fishing, and forestry occupations",41019,35486,18486,23383,,2010,Male
31,Construction and extraction occupations,30809,30602,24712,31043,52489,2010,Male
32,"Installation, maintenance, and repair occupations",31363,38733,33243,41113,51855,2010,Male
34,Production occupations,25244,27122,25548,28281,46439,2010,Male
35,Transportation occupations,22453,31139,22094,30658,49607,2010,Male
36,Material moving occupations,18259,20032,19221,25097,52580,2010,Male
40,Management occupations,51569,55771,81424,59391,62268,2010,Female
41,Business and financial operations occupations,47375,59101,66629,56425,70219,2010,Female
43,Computer and mathematical occupations,60507,71367,65183,71091,60992,2010,Female
44,Architecture and engineering occupations,35373,50718,68612,46190,56889,2010,Female
45,"Life, physical, and social science occupations",62160,56235,46387,51214,82988,2010,Female
47,Community and social service occupations,38509,41324,42123,42700,46311,2010,Female
48,Legal occupations,54693,64545,130675,50355,51122,2010,Female
49,"Education, training, and library occupations",40006,36217,42362,41654,50900,2010,Female
50,"Arts, design, entertainment, sports, and media occupations",52075,42397,51261,40058,53750,2010,Female
52,Health diagnosing and treating practitioners and other technical occupations,66384,70047,63712,69379,68474,2010,Female
53,Health technologists and technicians,39129,39186,37000,43343,52348,2010,Female
55,Healthcare support occupations,20758,22489,20370,26378,26839,2010,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",17435,26179,24757,18307,35077,2010,Female
58,Law enforcement workers including supervisors,60306,51037,63725,56952,68071,2010,Female
59,Food preparation and serving related occupations,13199,20562,16938,17752,12368,2010,Female
60,Building and grounds cleaning and maintenance occupations,15825,17426,14168,17997,15901,2010,Female
61,Personal care and service occupations,14790,16918,16656,16229,19713,2010,Female
63,Sales and related occupations,13706,20135,41546,21003,20782,2010,Female
64,Office and administrative support occupations,32243,31659,40056,32627,31707,2010,Female
66,"Farming, fishing, and forestry occupations",2500-,7675,2500-,,,2010,Female
67,Construction and extraction occupations,13790,19070,4883,48117,7326,2010,Female
68,"Installation, maintenance, and repair occupations",40174,42075,12387,32075,66669,2010,Female
70,Production occupations,16567,19021,18920,20663,26341,2010,Female
71,Transportation occupations,26867,35089,27020,33986,25693,2010,Female
72,Material moving occupations,15878,14180,21067,19784,21250,2010,Female
4,Management occupations,55677,66216,104539,61957,91875,2011,Male
5,Business and financial operations occupations,51465,71657,100068,63396,62317,2011,Male
7,Computer and mathematical occupations,55646,66235,79552,71316,71772,2011,Male
8,Architecture and engineering occupations,67138,61578,88605,69806,67828,2011,Male
9,"Life, physical, and social science occupations",52237,50824,52382,64556,71345,2011,Male
11,Community and social service occupations,37344,34798,42874,42358,47188,2011,Male
12,Legal occupations,100509,102691,168198,82482,61071,2011,Male
13,"Education, training, and library occupations",51832,36438,56169,44706,60188,2011,Male
14,"Arts, design, entertainment, sports, and media occupations",32840,49141,61588,40044,61852,2011,Male
16,Health diagnosing and treating practitioners and other technical occupations,64250,75696,75595,75779,90473,2011,Male
17,Health technologists and technicians,45636,37247,50275,46235,60283,2011,Male
19,Healthcare support occupations,26759,30233,21748,33189,30847,2011,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",30254,27207,20122,34181,42252,2011,Male
22,Law enforcement workers including supervisors,72654,67052,73586,80598,86219,2011,Male
23,Food preparation and serving related occupations,20006,21023,19223,22113,12257,2011,Male
24,Building and grounds cleaning and maintenance occupations,25074,28009,21219,33286,34002,2011,Male
25,Personal care and service occupations,27188,25427,35932,25155,29686,2011,Male
27,Sales and related occupations,21561,30052,95365,26766,31325,2011,Male
28,Office and administrative support occupations,28801,30698,36482,33028,36471,2011,Male
30,"Farming, fishing, and forestry occupations",25825,26890,35364,14692,,2011,Male
31,Construction and extraction occupations,27890,27589,22414,27893,52211,2011,Male
32,"Installation, maintenance, and repair occupations",31537,37316,30004,39159,58569,2011,Male
34,Production occupations,26881,23281,26594,26761,44216,2011,Male
35,Transportation occupations,25316,27263,22135,29070,60034,2011,Male
36,Material moving occupations,25506,24235,18605,24628,71250,2011,Male
40,Management occupations,51271,57321,81609,57330,63364,2011,Female
41,Business and financial operations occupations,48341,51479,75495,57340,62815,2011,Female
43,Computer and mathematical occupations,64071,72108,75969,56492,70775,2011,Female
44,Architecture and engineering occupations,7990,63008,76303,49212,40869,2011,Female
45,"Life, physical, and social science occupations",52132,52500,43674,63581,70635,2011,Female
47,Community and social service occupations,37496,41532,42799,40821,50597,2011,Female
48,Legal occupations,42318,67106,114509,55264,68274,2011,Female
49,"Education, training, and library occupations",37265,36236,44464,42183,34851,2011,Female
50,"Arts, design, entertainment, sports, and media occupations",34090,50326,50601,37386,41283,2011,Female
52,Health diagnosing and treating practitioners and other technical occupations,65566,67518,72187,76216,75551,2011,Female
53,Health technologists and technicians,36468,41266,45895,44256,40552,2011,Female
55,Healthcare support occupations,20742,24001,19482,25662,30680,2011,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",18065,25750,30621,31186,31443,2011,Female
58,Law enforcement workers including supervisors,32464,53066,66269,79327,89852,2011,Female
59,Food preparation and serving related occupations,15532,18841,23286,17409,16152,2011,Female
60,Building and grounds cleaning and maintenance occupations,14850,16561,16025,19311,23196,2011,Female
61,Personal care and service occupations,14557,16185,15232,15985,16898,2011,Female
63,Sales and related occupations,12999,18885,37358,16611,18992,2011,Female
64,Office and administrative support occupations,33050,31813,35614,32772,36950,2011,Female
66,"Farming, fishing, and forestry occupations",,57955,,11471,,2011,Female
67,Construction and extraction occupations,41058,41196,45460,50810,50576,2011,Female
68,"Installation, maintenance, and repair occupations",10362,38180,30916,59681,,2011,Female
70,Production occupations,16554,15943,18326,16956,24643,2011,Female
71,Transportation occupations,28477,41026,42153,28031,28003,2011,Female
72,Material moving occupations,13516,14835,19168,16958,,2011,Female
4,Management occupations,51601,66829,111337,64361,82133,2012,Male
5,Business and financial operations occupations,44862,62933,100491,60845,58996,2012,Male
7,Computer and mathematical occupations,49040,72637,78523,70889,70293,2012,Male
8,Architecture and engineering occupations,82027,72014,81729,71346,79516,2012,Male
9,"Life, physical, and social science occupations",75464,62217,51719,66055,46407,2012,Male
11,Community and social service occupations,45053,40859,50516,45632,39548,2012,Male
12,Legal occupations,55902,92269,170824,66720,80995,2012,Male
13,"Education, training, and library occupations",34219,36770,61053,37108,38720,2012,Male
14,"Arts, design, entertainment, sports, and media occupations",29458,51666,57397,42039,70772,2012,Male
16,Health diagnosing and treating practitioners and other technical occupations,61218,72897,110305,80236,105053,2012,Male
17,Health technologists and technicians,51704,38150,43028,39424,56250,2012,Male
19,Healthcare support occupations,31369,25006,33093,30692,25754,2012,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",30755,26948,33569,33547,74778,2012,Male
22,Law enforcement workers including supervisors,64814,66170,67310,80755,90139,2012,Male
23,Food preparation and serving related occupations,19587,20351,18565,21379,23027,2012,Male
24,Building and grounds cleaning and maintenance occupations,29505,25616,30476,32981,33277,2012,Male
25,Personal care and service occupations,22220,21953,19939,25848,21812,2012,Male
27,Sales and related occupations,23103,30041,75564,27879,49397,2012,Male
28,Office and administrative support occupations,28406,30375,41583,33936,36365,2012,Male
30,"Farming, fishing, and forestry occupations",18113,30818,,30004,,2012,Male
31,Construction and extraction occupations,30197,31679,26089,30066,42230,2012,Male
32,"Installation, maintenance, and repair occupations",39667,40899,35087,45583,61047,2012,Male
34,Production occupations,26710,30433,31257,31209,39270,2012,Male
35,Transportation occupations,27285,30314,25004,30757,46426,2012,Male
36,Material moving occupations,20538,25705,17073,25277,30155,2012,Male
40,Management occupations,56626,65099,83239,61236,77804,2012,Female
41,Business and financial operations occupations,47392,56474,72472,59389,60777,2012,Female
43,Computer and mathematical occupations,55952,65537,74631,63663,71383,2012,Female
44,Architecture and engineering occupations,65225,56925,52279,67050,42289,2012,Female
45,"Life, physical, and social science occupations",62484,49790,55858,55520,47119,2012,Female
47,Community and social service occupations,38592,42823,44871,42489,41759,2012,Female
48,Legal occupations,70121,66287,116070,62258,48737,2012,Female
49,"Education, training, and library occupations",34361,36910,50086,36455,42556,2012,Female
50,"Arts, design, entertainment, sports, and media occupations",33000,47215,55407,41493,23718,2012,Female
52,Health diagnosing and treating practitioners and other technical occupations,69219,64438,70792,70466,75481,2012,Female
53,Health technologists and technicians,45982,41484,51245,37515,47718,2012,Female
55,Healthcare support occupations,19159,23088,17464,23081,29977,2012,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",21969,27053,28974,20099,31804,2012,Female
58,Law enforcement workers including supervisors,62358,61212,60972,52290,62321,2012,Female
59,Food preparation and serving related occupations,12914,16329,17476,17265,10226,2012,Female
60,Building and grounds cleaning and maintenance occupations,17613,15875,17514,16769,11378,2012,Female
61,Personal care and service occupations,14529,17790,15001,16866,15985,2012,Female
63,Sales and related occupations,14199,20171,42354,17049,18264,2012,Female
64,Office and administrative support occupations,35334,32372,34682,34357,35302,2012,Female
66,"Farming, fishing, and forestry occupations",,18482,14848,87599,,2012,Female
67,Construction and extraction occupations,34386,30599,90369,30607,23314,2012,Female
68,"Installation, maintenance, and repair occupations",41494,58355,50203,45734,70792,2012,Female
70,Production occupations,16027,17069,18637,18245,32369,2012,Female
71,Transportation occupations,23998,34321,47622,26283,27028,2012,Female
72,Material moving occupations,20898,20605,7021,18242,15172,2012,Female
4,Management occupations,47319,65116,120134,66544,100018,2013,Male
5,Business and financial operations occupations,47921,61935,101372,70069,100257,2013,Male
7,Computer and mathematical occupations,65955,75399,101365,80217,75290,2013,Male
8,Architecture and engineering occupations,62100,61319,68656,70595,71146,2013,Male
9,"Life, physical, and social science occupations",76315,58750,75380,61276,102526,2013,Male
11,Community and social service occupations,32456,37446,40385,40378,45712,2013,Male
12,Legal occupations,73750,102116,160852,73269,100523,2013,Male
13,"Education, training, and library occupations",39688,41469,52304,48535,51356,2013,Male
14,"Arts, design, entertainment, sports, and media occupations",46815,48798,63063,53475,49665,2013,Male
16,Health diagnosing and treating practitioners and other technical occupations,67006,80570,101795,81210,91707,2013,Male
17,Health technologists and technicians,44063,41020,75669,51193,42255,2013,Male
19,Healthcare support occupations,30263,27521,26441,28376,32341,2013,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",26877,28224,23898,31822,75605,2013,Male
22,Law enforcement workers including supervisors,54977,53519,95245,70909,87701,2013,Male
23,Food preparation and serving related occupations,18055,20133,20612,22527,19787,2013,Male
24,Building and grounds cleaning and maintenance occupations,26307,27365,26513,30066,36428,2013,Male
25,Personal care and service occupations,28399,22234,30694,25754,18627,2013,Male
27,Sales and related occupations,19969,30518,76301,28402,51330,2013,Male
28,Office and administrative support occupations,29414,31884,31366,31608,47457,2013,Male
30,"Farming, fishing, and forestry occupations",,11114,,30517,,2013,Male
31,Construction and extraction occupations,35941,31415,35103,29570,40174,2013,Male
32,"Installation, maintenance, and repair occupations",34281,42053,30343,41161,50465,2013,Male
34,Production occupations,30581,31318,34277,30997,36107,2013,Male
35,Transportation occupations,26681,28661,21404,30630,42355,2013,Male
36,Material moving occupations,21192,22862,34588,26075,41900,2013,Male
40,Management occupations,56057,62768,88455,59596,68519,2013,Female
41,Business and financial operations occupations,58272,61439,77308,56255,65333,2013,Female
43,Computer and mathematical occupations,73016,74612,81374,71133,93162,2013,Female
44,Architecture and engineering occupations,44890,60616,70236,46457,,2013,Female
45,"Life, physical, and social science occupations",56810,46900,61028,44820,76708,2013,Female
47,Community and social service occupations,43469,45623,43673,41205,48703,2013,Female
48,Legal occupations,49178,69284,121002,70782,66998,2013,Female
49,"Education, training, and library occupations",35745,32291,39042,41159,41925,2013,Female
50,"Arts, design, entertainment, sports, and media occupations",29737,50621,55574,47000,50758,2013,Female
52,Health diagnosing and treating practitioners and other technical occupations,71201,67354,90359,74330,74390,2013,Female
53,Health technologists and technicians,41413,42366,40459,48485,36710,2013,Female
55,Healthcare support occupations,20193,23442,18607,25600,30094,2013,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",26987,31176,16052,25514,42244,2013,Female
58,Law enforcement workers including supervisors,52250,61113,55500,52930,90080,2013,Female
59,Food preparation and serving related occupations,15947,18346,20657,16716,15540,2013,Female
60,Building and grounds cleaning and maintenance occupations,17713,16046,21723,16129,11984,2013,Female
61,Personal care and service occupations,13051,16817,15687,18181,20071,2013,Female
63,Sales and related occupations,13470,20559,50930,20339,18656,2013,Female
64,Office and administrative support occupations,33388,32025,36827,36086,32452,2013,Female
66,"Farming, fishing, and forestry occupations",,,,21120,,2013,Female
67,Construction and extraction occupations,52606,26304,22149,51601,136367,2013,Female
68,"Installation, maintenance, and repair occupations",32034,70192,55055,38791,53262,2013,Female
70,Production occupations,16579,17585,22881,19161,35481,2013,Female
71,Transportation occupations,26497,36123,19141,35484,26019,2013,Female
72,Material moving occupations,22787,15335,16995,22315,7121,2013,Female
4,Management occupations,50170,67142,117126,61541,86549,2014,Male
5,Business and financial operations occupations,59167,70139,100134,60294,71604,2014,Male
7,Computer and mathematical occupations,57705,78026,101113,80177,91948,2014,Male
8,Architecture and engineering occupations,50407,70813,71143,67650,76470,2014,Male
9,"Life, physical, and social science occupations",44863,49813,60871,52431,67923,2014,Male
11,Community and social service occupations,40801,41469,51808,41833,48601,2014,Male
12,Legal occupations,63534,102360,166353,75845,64175,2014,Male
13,"Education, training, and library occupations",38790,38062,60789,54195,49123,2014,Male
14,"Arts, design, entertainment, sports, and media occupations",36098,51510,60151,45034,56961,2014,Male
16,Health diagnosing and treating practitioners and other technical occupations,66363,70162,102440,74190,90665,2014,Male
17,Health technologists and technicians,50592,50137,55625,42498,52105,2014,Male
19,Healthcare support occupations,27053,30271,16584,35383,25057,2014,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",25973,28926,26428,31672,51418,2014,Male
22,Law enforcement workers including supervisors,90816,57479,59650,71779,101239,2014,Male
23,Food preparation and serving related occupations,20702,20656,20655,21809,19837,2014,Male
24,Building and grounds cleaning and maintenance occupations,22303,28360,27015,33178,33639,2014,Male
25,Personal care and service occupations,21945,21782,24464,27488,16548,2014,Male
27,Sales and related occupations,25578,30637,81550,30788,40402,2014,Male
28,Office and administrative support occupations,25421,33396,34970,31514,33336,2014,Male
30,"Farming, fishing, and forestry occupations",,22746,,3226,,2014,Male
31,Construction and extraction occupations,30436,32204,31934,32304,50747,2014,Male
32,"Installation, maintenance, and repair occupations",39562,42488,35906,45622,51960,2014,Male
34,Production occupations,26894,26896,22359,31281,51840,2014,Male
35,Transportation occupations,26533,28116,28462,30725,32122,2014,Male
36,Material moving occupations,22169,23095,30341,24470,40300,2014,Male
40,Management occupations,56559,65826,85818,61479,60985,2014,Female
41,Business and financial operations occupations,53421,56938,76469,61439,60120,2014,Female
43,Computer and mathematical occupations,71258,66214,73027,68420,86284,2014,Female
44,Architecture and engineering occupations,76688,56973,101156,65374,67867,2014,Female
45,"Life, physical, and social science occupations",42198,40413,56663,59968,52167,2014,Female
47,Community and social service occupations,41386,41371,44757,41555,47214,2014,Female
48,Legal occupations,50856,71054,112230,60884,65074,2014,Female
49,"Education, training, and library occupations",35858,35589,50418,39393,37314,2014,Female
50,"Arts, design, entertainment, sports, and media occupations",32427,51321,60789,41230,40601,2014,Female
52,Health diagnosing and treating practitioners and other technical occupations,75396,71728,86072,75573,73055,2014,Female
53,Health technologists and technicians,40760,39990,47402,45701,37017,2014,Female
55,Healthcare support occupations,20263,23491,18845,25465,22584,2014,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",20938,30819,27772,24303,29726,2014,Female
58,Law enforcement workers including supervisors,51788,45063,82315,65499,66406,2014,Female
59,Food preparation and serving related occupations,15457,15048,16709,16587,8185,2014,Female
60,Building and grounds cleaning and maintenance occupations,16578,15027,19865,17617,14912,2014,Female
61,Personal care and service occupations,14119,18458,17158,15100,17694,2014,Female
63,Sales and related occupations,15245,20309,50879,19878,27864,2014,Female
64,Office and administrative support occupations,33695,32181,38024,35048,33633,2014,Female
66,"Farming, fishing, and forestry occupations",4288,4044,,,,2014,Female
67,Construction and extraction occupations,35273,30128,37234,37378,80236,2014,Female
68,"Installation, maintenance, and repair occupations",52281,53114,42260,34746,,2014,Female
70,Production occupations,17171,17427,12380,20966,17639,2014,Female
