,Education_Level,"New York, Total","New York, Male","New York, Female","Bronx County, Total","Bronx County, Male","Bronx County, Female","Kings County, Total","Kings County, Male","Kings County, Female","New York County, Total","New York County, Male","New York County, Female","Queens County, Total","Queens County, Male","Queens County, Female","Richmond County, Total","Richmond County, Male","Richmond County, Female",year
0,Less Than High School,2277052,1138213,1143539,311345,148572,162418,407824,194065,213419,187241,85858,101911,344416,169205,175850,42633,21169,21459,2010
1,High School Graduate,4133330,2001402,2131016,289612,140617,148530,544760,251061,292794,185323,89846,95307,479225,231872,247308,111213,49789,61395,2010
2,Some College or Associate's Degree,4107630,1929401,2180918,260809,114201,147278,451766,209562,242062,237324,106817,130084,455922,221734,234503,103275,53127,50120,2010
3,Bechelor's Degree or Higher,19927297,9321271,10599087,895047,373058,522007,2275900,1025176,1252730,2424540,1136634,1289127,2198144,1022502,1176163,478511,223656,254688,2010
0,Less Than High School,2260662,1124574,1139829,307780,142118,165769,410387,196399,214136,191904,86936,104382,342896,169289,174332,43438,20215,23180,2011
1,High School Graduate,4138263,2025720,2115599,280109,141289,138425,524261,247855,276544,192424,90411,101957,482811,234394,248858,117296,55420,61742,2011
2,Some College or Associate's Degree,4157080,1940273,2206650,275753,119083,157063,462662,211306,251813,233381,106593,125980,451034,208573,241352,102921,51186,51541,2011
3,Bechelor's Degree or Higher,20178451,9468203,10723200,906695,391257,515477,2347892,1052073,1295044,2467421,1160163,1306490,2250086,1066295,1183434,472563,222324,250617,2011
0,Less Than High School,2216468,1101493,1112600,307855,143354,164382,410710,195434,213603,182142,85898,97036,353059,171303,180900,41883,20478,21114,2012
1,High School Graduate,4080198,2004438,2071864,277818,136330,141651,520918,238575,281847,184749,93500,91303,480854,232597,248232,111657,52681,58821,2012
2,Some College or Associate's Degree,4275198,2010736,2273985,284888,127983,157270,457832,212008,246119,240353,104396,135755,466305,223496,243505,108844,53586,55267,2012
3,Bechelor's Degree or Higher,20536072,9613287,10918272,936555,400421,535282,2446906,1110758,1335499,2533638,1184672,1348087,2249326,1059603,1187882,478199,220327,258139,2012
0,Less Than High School,2195397,1103549,1088806,295049,141324,152941,407074,195076,211328,181112,86836,94468,342842,163969,180012,40644,18882,21680,2013
1,High School Graduate,4106469,2020941,2089626,289829,143717,146750,519680,239428,280658,189054,94410,94602,493334,244848,248099,114839,54396,60409,2013
2,Some College or Associate's Degree,4247085,1996508,2252158,293569,128664,164614,448629,210405,239575,225304,99282,126737,468873,222917,244294,105005,54033,50739,2013
3,Bechelor's Degree or Higher,20925826,9792688,11129434,972192,415196,557286,2545076,1154958,1389116,2600756,1210047,1390158,2318051,1095998,1220973,490987,225904,265222,2013
0,Less Than High School,2189776,1064768,1117231,307850,142118,166066,388537,179344,209917,179206,82715,96876,346728,163984,181551,42133,20825,21581,2014
1,High School Graduate,4112723,2035101,2072153,292005,143823,147804,524448,248243,275917,186166,88953,96234,502317,245504,255647,115188,55929,59388,2014
2,Some College or Associate's Degree,4261645,2020255,2243518,285167,129989,155217,447979,205808,240600,236689,110682,126493,480501,230791,250392,102488,49468,52966,2014
3,Bechelor's Degree or Higher,21244962,9955394,11279221,1000013,430063,570423,2665491,1228230,1435742,2610758,1217827,1391704,2328656,1105659,1222031,494717,229928,264659,2014
1,Less Than High School,2067912,1034351,1033561,299401,138628,160773,341838,160842,180996,190491,94720,95771,326606,151975,174631,42943,19683,23260,2017
2,High School Graduate,4126195,2070236,2055959,304859,153937,150922,538507,259955,278552,182069,93467,88602,536342,268739,267603,111743,53638,58105,2017
3,Some College or Associate's Degree,4204214,1987679,2216535,300957,135684,165273,446218,202498,243720,229621,99661,129960,468257,226114,242143,101830,51082,50748,2017
4,Bechelor's Degree or Higher,22242288,10375214,11870138,1072970,464646,608604,2901775,1319989,1581833,2689585,1252294,1437509,2467398,1164586,1302811,523671,244294,279365,2017
1,Less Than High School,1955839,967588,988251,278617,127221,151396,323009,154653,168356,164532,75382,89150,307855,147645,160210,43736,20961,22775,2018
2,High School Graduate,4037055,2024289,2012766,299738,153138,146600,517925,248363,269562,189061,92776,96285,485656,240787,244869,114991,57199,57792,2018
3,Some College or Associate's Degree,4088171,1948771,2139400,292934,126701,166233,419230,196004,223226,225075,105984,119091,449410,221729,227681,89555,41410,48145,2018
4,Bechelor's Degree or Higher,22402904,10468055,11939506,1084609,479407,605528,2916695,1315161,1602481,2679982,1255900,1424587,2486654,1158340,1328713,529653,248567,281111,2018
1,Less Than High School,1875373,928212,947161,265006,119666,145340,311101,143228,167873,163600,74096,89504,295294,144208,151086,40631,20588,20043,2019
2,High School Graduate,4022614,2028262,1994352,309335,161103,148232,532984,253279,279705,188033,95493,92540,490726,246420,244306,107586,52820,54766,2019
3,Some College or Associate's Degree,4042580,1922049,2120531,290796,128469,162327,397111,185319,211792,219983,95149,124834,443872,211014,232858,95032,47627,47405,2019
4,Bechelor's Degree or Higher,22627620,10563149,12064471,1089604,477701,611903,2924366,1338751,1585615,2699094,1280495,1418599,2470370,1153075,1317295,546824,250824,296000,2019
1,Less Than High School,2146923,1067609,1079314,302585,144054,158531,378864,180865,197999,182748,83700,99048,344057,165573,178484,38755,18645,20110,2015
2,High School Graduate,4123246,2058636,2064610,298759,147495,151264,517275,243378,273897,172993,83880,89113,508465,251592,256873,114194,55200,58994,2015
3,Some College or Associate's Degree,4228222,1992097,2236125,289136,127301,161835,454183,211703,242480,237872,109394,128478,463305,220666,242639,102632,49412,53220,2015
4,Bechelor's Degree or Higher,21590415,10098898,11493147,1039474,450973,588976,2742380,1248361,1495015,2650299,1247537,1403473,2395202,1131836,1263679,513371,240744,272733,2015
1,Less Than High School,2092385,1038517,1053868,295415,141253,154162,365478,174572,190906,173228,80831,92397,325486,150671,174815,43373,20689,22684,2016
2,High School Graduate,4077153,2025063,2052090,306820,152350,154470,511612,243646,267966,184168,87490,96678,513816,255317,258499,111764,50419,61345,2016
3,Some College or Associate's Degree,4217782,2004858,2212924,302390,132859,169531,445284,209719,235565,238074,110536,127538,463525,224623,238902,103583,54697,48886,2016
4,Bechelor's Degree or Higher,21835965,10198833,11639536,1024641,438292,585694,2806030,1264044,1541509,2653710,1250414,1403739,2431063,1152620,1278201,511915,237801,273981,2016
