"Label","Bronx County, New York / Estimate","Richmond County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Kings County, New York / Estimate"
"Total:","209917","","100625","203223","383641"
"Male:","94420","","47182","92801","165680"
"Management, business, science, and arts occupations:","20058","","14996","23328","39418"
"Management, business, and financial occupations:","8267","","6042","9278","15395"
"Management occupations","6161","","2755","5973","10121"
"Business and financial operations occupations","2106","","3287","3305","5274"
"Computer, engineering, and science occupations:","3032","","1741","3024","5331"
"Computer and mathematical occupations","1475","","1406","2305","3229"
"Architecture and engineering occupations","1483","","278","719","1623"
"Life, physical, and social science occupations","74","","57","0","479"
"Education, legal, community service, arts, and media occupations:","6089","","6927","7602","14461"
"Community and social service occupations","2407","","2228","2141","3016"
"Legal occupations","545","","880","743","1593"
"Education, training, and library occupations","2120","","2477","2664","5185"
"Arts, design, entertainment, sports, and media occupations","1017","","1342","2054","4667"
"Healthcare practitioners and technical occupations:","2670","","286","3424","4231"
"Health diagnosing and treating practitioners and other technical occupations","1541","","286","1448","2676"
"Health technologists and technicians","1129","","0","1976","1555"
"Service occupations:","25867","","12001","21709","40002"
"Healthcare support occupations","2029","","640","2409","3426"
"Protective service occupations:","6992","","2251","8303","11378"
"Fire fighting and prevention, and other protective service workers including supervisors","6167","","1765","6033","8997"
"Law enforcement workers including supervisors","825","","486","2270","2381"
"Food preparation and serving related occupations","6018","","2287","3279","7160"
"Building and grounds cleaning and maintenance occupations","6519","","3375","4784","12689"
"Personal care and service occupations","4309","","3448","2934","5349"
"Sales and office occupations:","16895","","11069","19706","34078"
"Sales and related occupations","6924","","4051","9732","14701"
"Office and administrative support occupations","9971","","7018","9974","19377"
"Natural resources, construction, and maintenance occupations:","11489","","3846","12605","23187"
"Farming, fishing, and forestry occupations","106","","77","0","0"
"Construction and extraction occupations","6004","","2246","8144","14609"
"Installation, maintenance, and repair occupations","5379","","1523","4461","8578"
"Production, transportation, and material moving occupations:","20111","","5270","15453","28995"
"Production occupations","2938","","936","1772","4448"
"Transportation occupations","13912","","3416","11655","19515"
"Material moving occupations","3261","","918","2026","5032"
"Female:","115497","","53443","110422","217961"
"Management, business, science, and arts occupations:","38552","","19326","43153","79515"
"Management, business, and financial occupations:","11181","","7354","12587","22190"
"Management occupations","7378","","4629","7982","13537"
"Business and financial operations occupations","3803","","2725","4605","8653"
"Computer, engineering, and science occupations:","1630","","721","1870","2986"
"Computer and mathematical occupations","803","","638","1323","1627"
"Architecture and engineering occupations","94","","0","138","721"
"Life, physical, and social science occupations","733","","83","409","638"
"Education, legal, community service, arts, and media occupations:","15658","","7582","17844","34959"
"Community and social service occupations","6876","","1865","6682","12201"
"Legal occupations","633","","1151","1659","2389"
"Education, training, and library occupations","7492","","3078","8142","16172"
"Arts, design, entertainment, sports, and media occupations","657","","1488","1361","4197"
"Healthcare practitioners and technical occupations:","10083","","3669","10852","19380"
"Health diagnosing and treating practitioners and other technical occupations","6870","","2582","5500","11840"
"Health technologists and technicians","3213","","1087","5352","7540"
"Service occupations:","42375","","15039","32140","77592"
"Healthcare support occupations","19825","","5452","15560","36909"
"Protective service occupations:","3520","","1590","3189","7247"
"Fire fighting and prevention, and other protective service workers including supervisors","1981","","1179","1348","3512"
"Law enforcement workers including supervisors","1539","","411","1841","3735"
"Food preparation and serving related occupations","3520","","2491","2657","5682"
"Building and grounds cleaning and maintenance occupations","5049","","1048","2568","6981"
"Personal care and service occupations","10461","","4458","8166","20773"
"Sales and office occupations:","30492","","17733","31309","54091"
"Sales and related occupations","9413","","5711","9868","18299"
"Office and administrative support occupations","21079","","12022","21441","35792"
"Natural resources, construction, and maintenance occupations:","511","","369","334","1189"
"Farming, fishing, and forestry occupations","0","","0","0","0"
"Construction and extraction occupations","133","","321","170","360"
"Installation, maintenance, and repair occupations","378","","48","164","829"
"Production, transportation, and material moving occupations:","3567","","976","3486","5574"
"Production occupations","1302","","399","577","1327"
"Transportation occupations","1551","","372","2422","3496"
"Material moving occupations","714","","205","487","751"